attack_relative_s,timestamp,dpid,port,rx_mbps,hits,blocked,action
-259.48432326316833,1788102529.643335,1,1,0.003,0,0,
-257.4836313724518,1788102531.644027,1,1,0.0,0,0,
-255.4831292629242,1788102533.644529,1,1,0.0,0,0,
-253.48233032226562,1788102535.645328,1,1,0.001,0,0,
-249.76573133468628,1788102539.361927,1,1,0.0,0,0,
-247.7645673751831,1788102541.363091,1,1,0.0,0,0,
-245.76306343078613,1788102543.364595,1,1,0.0,0,0,
-243.76109147071838,1788102545.366567,1,1,0.0,0,0,
-241.75940537452698,1788102547.368253,1,1,0.0,0,0,
-239.75787329673767,1788102549.369785,1,1,0.0,0,0,
-237.7569534778595,1788102551.370705,1,1,0.0,0,0,
-235.75629234313965,1788102553.371366,1,1,0.0,0,0,
-233.7551794052124,1788102555.372479,1,1,0.0,0,0,
-231.75321745872498,1788102557.374441,1,1,0.0,0,0,
-229.753178358078,1788102559.37448,1,1,0.0,0,0,
-227.7519314289093,1788102561.375727,1,1,0.0,0,0,
-225.74971747398376,1788102563.377941,1,1,0.0,0,0,
-223.74823427200317,1788102565.379424,1,1,0.0,0,0,
-221.74658226966858,1788102567.381076,1,1,0.0,0,0,
-219.74548935890198,1788102569.382169,1,1,0.0,0,0,
-216.02873826026917,1788102573.09892,1,1,0.0,0,0,
-214.02834343910217,1788102575.099315,1,1,0.0,0,0,
-212.02676033973694,1788102577.100898,1,1,0.0,0,0,
-210.02515125274658,1788102579.102507,1,1,0.0,0,0,
-208.02370738983154,1788102581.103951,1,1,0.0,0,0,
-206.02213835716248,1788102583.10552,1,1,0.0,0,0,
-204.02069234848022,1788102585.106966,1,1,0.0,0,0,
-202.01929235458374,1788102587.108366,1,1,0.0,0,0,
-200.01731729507446,1788102589.110341,1,1,0.0,0,0,
-198.01548743247986,1788102591.112171,1,1,0.0,0,0,
-196.01400542259216,1788102593.113653,1,1,0.0,0,0,
-194.01326727867126,1788102595.114391,1,1,0.0,0,0,
-155.2892782688141,1788102633.83838,1,1,0.001,0,0,
-153.28823447227478,1788102635.839424,1,1,0.0,0,0,
-151.2878394126892,1788102637.839819,1,1,0.0,0,0,
-147.5528473854065,1788102641.574811,1,1,0.0,0,0,
-145.5526864528656,1788102643.574972,1,1,0.0,0,0,
-143.55074739456177,1788102645.576911,1,1,0.0,0,0,
-141.55008935928345,1788102647.577569,1,1,0.0,0,0,
-139.54821944236755,1788102649.579439,1,1,0.0,0,0,
-137.54761934280396,1788102651.580039,1,1,0.0,0,0,
-135.54658842086792,1788102653.58107,1,1,0.0,0,0,
-133.5461163520813,1788102655.581542,1,1,0.0,0,0,
-131.54526829719543,1788102657.58239,1,1,0.0,0,0,
-129.54506731033325,1788102659.582591,1,1,0.0,0,0,
-127.54339337348938,1788102661.584265,1,1,0.0,0,0,
-125.54096245765686,1788102663.586696,1,1,0.0,0,0,
-123.54034328460693,1788102665.587315,1,1,0.0,0,0,
-121.53931832313538,1788102667.58834,1,1,0.0,0,0,
-119.53844428062439,1788102669.589214,1,1,0.0,0,0,
-117.53643226623535,1788102671.591226,1,1,0.0,0,0,
-113.79586338996887,1788102675.331795,1,1,0.0,0,0,
-111.79357433319092,1788102677.334084,1,1,0.0,0,0,
-109.79293131828308,1788102679.334727,1,1,0.0,0,0,
-107.79102230072021,1788102681.336636,1,1,0.0,0,0,
-105.78926825523376,1788102683.33839,1,1,0.0,0,0,
-103.78823637962341,1788102685.339422,1,1,0.0,0,0,
-101.78687334060669,1788102687.340785,1,1,0.0,0,0,
-99.7854642868042,1788102689.342194,1,1,0.0,0,0,
-97.78438138961792,1788102691.343277,1,1,0.0,0,0,
-95.78257036209106,1788102693.345088,1,1,0.0,0,0,
-93.7814564704895,1788102695.346202,1,1,0.0,0,0,
-91.78066325187683,1788102697.346995,1,1,0.0,0,0,
-89.77955341339111,1788102699.348105,1,1,0.0,0,0,
-87.77914047241211,1788102701.348518,1,1,0.0,0,0,
-85.77787733078003,1788102703.349781,1,1,0.0,0,0,
-83.77586531639099,1788102705.351793,1,1,0.0,0,0,
-80.02943634986877,1788102709.098222,1,1,0.0,0,0,
-78.02766036987305,1788102711.099998,1,1,0.0,0,0,
-76.02633833885193,1788102713.10132,1,1,0.0,0,0,
-74.0245373249054,1788102715.103121,1,1,0.0,0,0,
-72.02314925193787,1788102717.104509,1,1,0.0,0,0,
-70.0209653377533,1788102719.106693,1,1,0.0,0,0,
-68.01973628997803,1788102721.107922,1,1,0.0,0,0,
-66.01806926727295,1788102723.109589,1,1,0.0,0,0,
-64.01663041114807,1788102725.111028,1,1,0.0,0,0,
-62.01485633850098,1788102727.112802,1,1,0.0,0,0,
-60.01346731185913,1788102729.114191,1,1,0.0,0,0,
-58.011834383010864,1788102731.115824,1,1,0.0,0,0,
-56.0103874206543,1788102733.117271,1,1,0.0,0,0,
-54.00855326652527,1788102735.119105,1,1,0.0,0,0,
-52.007129430770874,1788102737.120529,1,1,0.0,0,0,
-50.00515937805176,1788102739.122499,1,1,0.0,0,0,
-48.00324034690857,1788102741.124418,1,1,0.0,0,0,
-44.247236251831055,1788102744.880422,1,1,0.0,0,0,
-42.24574828147888,1788102746.88191,1,1,0.0,0,0,
-40.244009256362915,1788102748.883649,1,1,0.0,0,0,
