timestamp,dpid,port,rx_mbps,hits,blocked,action,baseline_mbps,threshold_mbps,training_count,trained
1788873721.511609,1,1,0.003,0,0,,,1.500,0,0
1788873723.518340,1,1,0.006,0,0,,,1.500,0,0
1788873725.524706,1,1,0.001,0,0,,,1.500,0,0
1788873727.547856,1,1,0.001,0,0,,,1.500,0,0
1788873729.550781,1,1,0.000,0,0,,,1.500,0,0
1788873731.555205,1,1,0.000,0,0,,,1.500,0,0
1788873733.595601,1,1,0.000,0,0,,,1.500,0,0
1788873735.600973,1,1,0.000,0,0,,,1.500,0,0
1788873737.610893,1,1,0.000,0,0,,,1.500,0,0
1788873739.618824,1,1,0.000,0,0,,,1.500,0,0
1788873741.628377,1,1,1.954,0,0,,1.954,2.932,1,0
1788873743.633250,1,1,2.057,0,0,,2.006,3.009,2,0
1788873745.686407,1,1,2.061,0,0,,2.024,3.036,3,0
1788873745.959404,1,1,2.057,0,0,,2.033,3.049,4,0
1788873747.982814,1,1,2.056,0,0,,2.037,3.056,5,1
1788873749.988864,1,1,2.062,0,0,,2.042,3.063,5,1
1788873751.994807,1,1,2.051,0,0,,2.044,3.066,5,1
1788873754.007357,1,1,0.003,0,0,,2.044,3.066,5,1
1788873756.074471,1,1,0.000,0,0,,2.044,3.066,5,1
1788873758.098845,1,1,0.000,0,0,,2.044,3.066,5,1
1788873760.158769,1,1,0.000,0,0,,2.044,3.066,5,1
1788873762.179768,1,1,0.000,0,0,,2.044,3.066,5,1
1788873764.199446,1,1,0.000,0,0,,2.044,3.066,5,1
1788873766.214150,1,1,0.000,0,0,,2.044,3.066,5,1
1788873768.223333,1,1,0.000,0,0,,2.044,3.066,5,1
1788873770.232321,1,1,0.000,0,0,,2.044,3.066,5,1
1788873772.288844,1,1,0.000,0,0,,2.044,3.066,5,1
1788873774.321894,1,1,0.000,0,0,,2.044,3.066,5,1
1788873776.375186,1,1,0.000,0,0,,2.044,3.066,5,1
1788873776.594498,1,1,0.000,0,0,,2.044,3.066,5,1
1788873778.607542,1,1,0.000,0,0,,2.044,3.066,5,1
1788873780.614527,1,1,0.935,0,0,,1.822,2.733,5,1
1788873782.618345,1,1,2.052,0,0,,1.868,2.802,5,1
1788873784.654070,1,1,2.061,0,0,,1.907,2.860,5,1
1788873786.656355,1,1,4.730,1,0,,1.907,2.860,5,1
1788873788.671150,1,1,4.999,2,0,,1.907,2.860,5,1
1788873790.683806,1,1,4.999,0,1,DROP_INSTALLED,1.907,2.860,5,1
1788873792.691133,1,1,70.624,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873794.693049,1,1,22.632,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873796.697212,1,1,22.625,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873798.699736,1,1,22.649,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873800.715761,1,1,22.634,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873802.728901,1,1,22.642,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873804.740080,1,1,22.641,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873806.747754,1,1,22.639,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873807.002048,1,1,22.639,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873809.029953,1,1,22.630,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873811.051443,1,1,22.643,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873813.071406,1,1,22.637,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873815.090159,1,1,22.645,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873817.106230,1,1,22.639,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873819.120723,1,1,22.633,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873821.131707,1,1,22.637,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873823.141653,1,1,22.637,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873825.148870,1,1,22.632,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873827.152933,1,1,22.638,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873829.153783,1,1,22.645,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873831.158624,1,1,22.641,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873833.185846,1,1,22.632,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873835.203522,1,1,22.633,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873837.217936,1,1,22.646,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873837.500331,1,1,21.335,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873839.520028,1,1,20.586,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873841.531004,1,1,20.568,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873843.546721,1,1,1.557,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873845.563180,1,1,0.000,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873847.579841,1,1,0.000,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873849.601928,1,1,0.000,0,1,BLOCK_ACTIVE,1.907,2.860,5,1
1788873849.602405,1,1,0.000,0,0,DROP_REMOVED,1.907,2.860,5,1
1788873851.637807,1,1,0.000,0,0,,1.907,2.860,5,1
1788873853.655870,1,1,0.000,0,0,,1.907,2.860,5,1
1788873855.658745,1,1,0.004,0,0,,1.907,2.860,5,1
1788873857.665066,1,1,0.000,0,0,,1.907,2.860,5,1
1788873859.685150,1,1,0.000,0,0,,1.907,2.860,5,1
1788873861.707300,1,1,0.000,0,0,,1.907,2.860,5,1
1788873863.723736,1,1,0.000,0,0,,1.907,2.860,5,1
1788873865.731016,1,1,0.000,0,0,,1.907,2.860,5,1
1788873867.745552,1,1,0.000,0,0,,1.907,2.860,5,1
1788873868.001696,1,1,0.000,0,0,,1.907,2.860,5,1
1788873870.012360,1,1,0.000,0,0,,1.907,2.860,5,1
1788873872.017490,1,1,0.000,0,0,,1.907,2.860,5,1
1788873874.022020,1,1,0.000,0,0,,1.907,2.860,5,1
1788873876.049603,1,1,0.000,0,0,,1.907,2.860,5,1
1788873878.074782,1,1,0.000,0,0,,1.907,2.860,5,1
1788873880.100752,1,1,0.000,0,0,,1.907,2.860,5,1
1788873882.125292,1,1,0.000,0,0,,1.907,2.860,5,1
1788873884.141495,1,1,0.000,0,0,,1.907,2.860,5,1
1788873886.160067,1,1,0.000,0,0,,1.907,2.860,5,1
1788873888.174611,1,1,0.001,0,0,,1.907,2.860,5,1
1788873890.185528,1,1,0.001,0,0,,1.907,2.860,5,1
1788873892.197567,1,1,0.000,0,0,,1.907,2.860,5,1
1788873894.202814,1,1,0.000,0,0,,1.907,2.860,5,1
1788873896.208752,1,1,0.000,0,0,,1.907,2.860,5,1
1788873898.214801,1,1,0.000,0,0,,1.907,2.860,5,1
1788873898.459487,1,1,0.000,0,0,,1.907,2.860,5,1
1788873900.480290,1,1,0.000,0,0,,1.907,2.860,5,1
1788873902.507138,1,1,0.000,0,0,,1.907,2.860,5,1
1788873904.529521,1,1,0.000,0,0,,1.907,2.860,5,1
1788873906.551336,1,1,0.000,0,0,,1.907,2.860,5,1
1788873908.575750,1,1,0.000,0,0,,1.907,2.860,5,1
1788873910.595613,1,1,0.000,0,0,,1.907,2.860,5,1
1788873912.612425,1,1,0.000,0,0,,1.907,2.860,5,1
1788873914.623695,1,1,0.000,0,0,,1.907,2.860,5,1
1788873916.628299,1,1,0.000,0,0,,1.907,2.860,5,1
1788873918.629920,1,1,0.000,0,0,,1.907,2.860,5,1
1788873920.655996,1,1,0.000,0,0,,1.907,2.860,5,1
1788873922.680898,1,1,0.000,0,0,,1.907,2.860,5,1
1788873924.697806,1,1,0.000,0,0,,1.907,2.860,5,1
1788873926.711363,1,1,0.000,0,0,,1.907,2.860,5,1
1788873928.722948,1,1,0.000,0,0,,1.907,2.860,5,1
1788873928.883484,1,1,0.000,0,0,,1.907,2.860,5,1
1788873930.889992,1,1,0.000,0,0,,1.907,2.860,5,1
1788873932.920826,1,1,0.000,0,0,,1.907,2.860,5,1
1788873934.949521,1,1,0.000,0,0,,1.907,2.860,5,1
1788873936.975960,1,1,0.000,0,0,,1.907,2.860,5,1
1788873938.998259,1,1,0.000,0,0,,1.907,2.860,5,1
1788873941.000968,1,1,0.000,0,0,,1.907,2.860,5,1
1788873943.017558,1,1,0.000,0,0,,1.907,2.860,5,1
1788873945.030736,1,1,0.000,0,0,,1.907,2.860,5,1
1788873947.038651,1,1,0.000,0,0,,1.907,2.860,5,1
1788873949.042494,1,1,0.000,0,0,,1.907,2.860,5,1
1788873951.068614,1,1,0.000,0,0,,1.907,2.860,5,1
1788873953.073209,1,1,0.000,0,0,,1.907,2.860,5,1
1788873955.081607,1,1,0.000,0,0,,1.907,2.860,5,1
1788873957.097319,1,1,0.000,0,0,,1.907,2.860,5,1
1788873959.109737,1,1,0.000,0,0,,1.907,2.860,5,1
1788873959.477167,1,1,0.000,0,0,,1.907,2.860,5,1
1788873961.480370,1,1,0.000,0,0,,1.907,2.860,5,1
1788873963.490074,1,1,0.000,0,0,,1.907,2.860,5,1
1788873965.495777,1,1,0.000,0,0,,1.907,2.860,5,1
1788873967.524390,1,1,0.000,0,0,,1.907,2.860,5,1
