timestamp,dpid,port,rx_mbps,hits,blocked,action,baseline_mbps,threshold_mbps,training_count,trained
1788874304.777382,1,1,0.010,0,0,,,1.500,0,0
1788874306.819041,1,1,0.000,0,0,,,1.500,0,0
1788874308.821453,1,1,0.002,0,0,,,1.500,0,0
1788874310.826306,1,1,0.000,0,0,,,1.500,0,0
1788874312.832746,1,1,0.000,0,0,,,1.500,0,0
1788874314.845782,1,1,0.000,0,0,,,1.500,0,0
1788874316.859128,1,1,0.001,0,0,,,1.500,0,0
1788874318.870542,1,1,1.508,0,0,,1.508,2.262,1,0
1788874320.881090,1,1,2.057,0,0,,1.783,2.674,2,0
1788874322.887675,1,1,2.055,0,0,,1.874,2.810,3,0
1788874324.889116,1,1,2.061,0,0,,1.920,2.881,4,0
1788874325.165222,1,1,2.054,0,0,,1.947,2.921,5,1
1788874327.199687,1,1,2.062,0,0,,1.970,2.955,5,1
1788874329.212701,1,1,2.055,0,0,,1.987,2.981,5,1
1788874331.241529,1,1,0.450,0,0,,1.987,2.981,5,1
1788874333.241878,1,1,0.000,0,0,,1.987,2.981,5,1
1788874335.250848,1,1,0.000,0,0,,1.987,2.981,5,1
1788874337.274666,1,1,0.000,0,0,,1.987,2.981,5,1
1788874339.293731,1,1,0.000,0,0,,1.987,2.981,5,1
1788874341.318727,1,1,0.000,0,0,,1.987,2.981,5,1
1788874343.340629,1,1,0.000,0,0,,1.987,2.981,5,1
1788874345.344040,1,1,0.556,0,0,,1.701,2.551,5,1
1788874347.343923,1,1,5.001,1,0,,1.701,2.551,5,1
1788874349.347007,1,1,4.993,2,0,,1.701,2.551,5,1
1788874351.348590,1,1,5.002,0,0,ALLOWLIST_SUPPRESSED,1.701,2.551,5,1
1788874353.349839,1,1,5.003,1,0,,1.701,2.551,5,1
1788874355.351737,1,1,4.996,2,0,,1.701,2.551,5,1
1788874355.577497,1,1,5.001,0,0,ALLOWLIST_SUPPRESSED,1.701,2.551,5,1
1788874357.594892,1,1,4.999,1,0,,1.701,2.551,5,1
1788874359.604194,1,1,5.001,2,0,,1.701,2.551,5,1
1788874361.607584,1,1,4.998,0,0,ALLOWLIST_SUPPRESSED,1.701,2.551,5,1
1788874363.615185,1,1,5.000,1,0,,1.701,2.551,5,1
1788874365.617631,1,1,5.001,2,0,,1.701,2.551,5,1
1788874367.620367,1,1,5.000,0,0,ALLOWLIST_SUPPRESSED,1.701,2.551,5,1
