scenario,timestamp,sample_time_s,attack_relative_s,rtt_ms
E1,1788101434.866718,0.0,,3.56
E1,1788101435.365311,0.4985928535461426,,0.696
E1,1788101435.86474,0.9980218410491943,,0.103
E1,1788101436.380748,1.5140299797058105,,0.041
E1,1788101436.892801,2.026082992553711,,0.049
E1,1788101437.404808,2.5380899906158447,,0.07
E1,1788101437.916891,3.050173044204712,,0.095
E1,1788101438.428929,3.562211036682129,,0.1
E1,1788101438.940803,4.074084997177124,,0.064
E1,1788101439.452912,4.586194038391113,,0.098
E1,1788101439.964867,5.098149061203003,,0.059
E1,1788101440.476807,5.610089063644409,,0.062
E1,1788101440.988884,6.12216591835022,,0.098
E1,1788101441.500827,6.634109020233154,,0.044
E1,1788101442.012832,7.146113872528076,,0.047
E1,1788101442.524767,7.658048868179321,,0.05
E1,1788101443.036762,8.1700439453125,,0.049
E1,1788101443.548769,8.682050943374634,,0.048
E1,1788101444.060838,9.194119930267334,,0.082
E1,1788101444.572894,9.706176042556763,,0.087
E1,1788101445.084904,10.218185901641846,,0.068
E1,1788101445.596964,10.73024582862854,,0.173
E1,1788101446.108878,11.242159843444824,,0.064
E1,1788101446.62074,11.754021883010864,,0.044
E1,1788101447.13282,12.266101837158203,,0.038
E1,1788101447.644782,12.778064012527466,,0.055
E1,1788101449.967893,15.10117483139038,,0.047
E1,1788101450.479906,15.613188028335571,,0.049
E1,1788101450.991838,16.125119924545288,,0.036
E1,1788101451.503917,16.63719892501831,,0.031
E1,1788101452.015842,17.149123907089233,,0.031
E1,1788101452.527909,17.6611909866333,,0.051
E1,1788101453.039889,18.173171043395996,,0.058
E1,1788101453.551875,18.68515706062317,,0.037
E1,1788101454.064031,19.197312831878662,,0.185
E1,1788101454.575842,19.709123849868774,,0.029
E1,1788101455.087915,20.22119688987732,,0.058
E1,1788101455.599952,20.73323392868042,,0.044
E1,1788101456.111885,21.245167016983032,,0.041
E1,1788101456.623881,21.757163047790527,,0.065
E1,1788101457.135834,22.269115924835205,,0.037
E1,1788101457.64787,22.78115200996399,,0.022
E1,1788101458.159845,23.293127059936523,,0.035
E1,1788101458.671852,23.805134057998657,,0.034
E1,1788101459.183918,24.31719994544983,,0.052
E1,1788101459.69589,24.829171895980835,,0.043
E1,1788101460.207851,25.341132879257202,,0.03
E1,1788101460.719902,25.85318398475647,,0.051
E1,1788101461.231939,26.36522102355957,,0.051
E1,1788101461.743883,26.877164840698242,,0.054
E1,1788101462.255858,27.389139890670776,,0.045
E1,1788101462.767884,27.90116596221924,,0.035
E1,1788101463.27994,28.413221836090088,,0.095
E1,1788101463.791857,28.9251389503479,,0.034
E1,1788101464.303891,29.437172889709473,,0.046
E1,1788101464.815921,29.94920301437378,,0.034
E1,1788101465.327926,30.4612078666687,,0.053
E1,1788101465.83992,30.973201990127563,,0.057
E1,1788101466.351898,31.485179901123047,,0.062
E1,1788101466.863937,31.99721884727478,,0.051
E2,1788101617.05507,0.0,-21.316801071166992,0.226
E2,1788101617.555621,0.5005509853363037,-20.81625008583069,0.069
E2,1788101618.067655,1.012585163116455,-20.304215908050537,0.047
E2,1788101620.4037,3.34863018989563,-17.968170881271362,0.051
E2,1788101620.915992,3.86092209815979,-17.455878973007202,0.332
E2,1788101621.427748,4.37267804145813,-16.944123029708862,0.067
E2,1788101621.939773,4.884703159332275,-16.432097911834717,0.049
E2,1788101622.451752,5.396682024002075,-15.920119047164917,0.051
E2,1788101622.963718,5.9086480140686035,-15.408153057098389,0.029
E2,1788101623.475678,6.420608043670654,-14.896193027496338,0.028
E2,1788101623.987718,6.932648181915283,-14.384152889251709,0.046
E2,1788101624.499729,7.444658994674683,-13.87214207649231,0.05
E2,1788101625.011719,7.9566490650177,-13.360152006149292,0.04
E2,1788101625.523654,8.468584060668945,-12.848217010498047,0.025
E2,1788101626.035681,8.980611085891724,-12.336189985275269,0.037
E2,1788101626.547729,9.492659091949463,-11.82414197921753,0.035
E2,1788101627.059658,10.00458812713623,-11.312212944030762,0.034
E2,1788101627.571701,10.516631126403809,-10.800169944763184,0.026
E2,1788101628.083698,11.02862811088562,-10.288172960281372,0.047
E2,1788101628.59574,11.540670156478882,-9.77613091468811,0.024
E2,1788101629.111679,12.056609153747559,-9.260191917419434,0.026
E2,1788101629.619736,12.564666032791138,-8.752135038375854,0.062
